LISTING_ID,FREE_FLOAT_FACTOR,TRADE_DAYS_6M,DWH_INSTRUMENT_ID,DWH_LISTING_ID,IN_EXCLUSION_LIST,AVG_MCAP_20D,XETRA_TRADING_TYPE,IS_SIBLING_BY_ISSUER_IN_BLUE,COMPLIANCE_CHECK,COMPLIANCE_CHECK_GF_RULE_FLAG,ANN_REP_BREACH_4M,ANN_REP_RECD,SEMI_ANN_REP_BREACH_3M,SEMI_ANN_REP_RECD,QTLY_REP_BREACH_75D,QTLY_REP_RECD,COUNTRY_ID,IS_EUEFTA_COUNTRY,IS_HEADQUATER_IN_GERMANY,IN_RANKING_LIST_COMPOSITION,SUM_TURNOVER_12M,AVG_TURNOVER_3M,IN_COMPOSITION_DAX30,IN_COMPOSITION_MDAX,SUM_TURNOVER_12M_XETRA,SUM_TURNOVER_3M,SUM_TURNOVER_3M_XETRA,TRADE_DAYS_3M,ISSUER
70829008,0.6513,129,31249430,70829008,0,,93,0,0,,1,0,0,0,1,0,CH,1,0,0,47245.38,214.4575758,0,0,25237.81,14154.2,3951.35,66,357916
86983709,0.3758,129,45122734,86983709,0,77243000.2,30,0,1,,,1,,1,,1,DE,1,1,0,20465438.3,78703.45303,0,0,19641576.3,5194427.9,4944312.25,66,358267
86916325,0.27,129,45067181,86916325,0,548944008.3,30,0,1,,,1,,1,,1,DE,1,1,1,352487651.6,396093.3791,0,0,350922486.1,26142163.02,26044863.82,66,359860
65778259,0.219,129,33398388,65778259,0,86575226.75,30,0,0,,,1,,1,1,0,AT,1,0,0,8573430.4,39135.20455,0,0,7926411.5,2582923.5,2437740.7,66,363678
67140887,0.4093,129,34212034,67140887,0,39887049.63,30,0,1,,,1,,1,,1,LU,1,0,0,98982799.23,131913.0682,0,0,97487384.61,8706262.5,8590227.65,66,365201
59191293,0.8647,129,29803160,59191293,0,,93,0,0,,,1,,1,,1,JP,0,0,0,772,0,0,0,0,0,0,66,36553
69454948,0.738,129,35422097,69454948,0,2251367294,30,0,1,,,1,,1,,1,DE,1,1,1,2250053905,7284098.156,0,1,2240644278,480750478.3,478843434.6,66,367996
80600953,0.6722,129,41130163,80600953,0,7297874705,30,0,1,,,1,,1,,1,DE,1,1,1,12342907286,63346877.61,1,0,12268387476,4180893922,4148563956,66,368855
95025888,0.7829,129,36599745,95025888,0,282105337.2,30,0,0,,,1,0,0,,1,AU,0,1,0,16380296.32,110736.6102,0,0,7619852.53,7308616.27,3693650.21,66,369350
85990629,0.46,129,44506711,85990629,0,99716636.52,30,0,1,,,1,,1,,1,DE,1,1,0,204360164.6,547098.6342,0,0,201850358,36108509.86,35620258.96,66,369707
224718,0.2372,129,98865,224718,0,1296935827,30,0,1,,,1,,1,,1,LU,1,0,1,534353164.6,1584668.629,0,1,518018630.3,104588129.5,101810978.4,66,37332
77801149,0.1982,129,39975038,77801149,0,60644471.3,30,0,0,,,1,0,0,,1,DE,1,1,0,5627841,11737.87879,0,0,5500873.2,774700,761761.5,66,376688
80560037,0.3734,129,41360354,80560037,0,215356565.5,30,0,1,,,1,,1,,1,DE,1,1,0,85772481.3,538965.8364,0,0,83611635.55,35571745.2,34836476.45,66,379120
80708133,0.498,129,41445537,80708133,0,1576876668,30,0,1,,,1,,1,,1,DE,1,1,1,1428910527,4141073.632,0,1,1406421198,273310859.7,270026570,66,379281
81480313,0.9019,129,41859898,81480313,1,,93,0,0,,1,0,0,0,1,0,DE,1,1,0,44794104.17,1415.050606,0,0,42121735.27,93393.34,0,66,380127
82978470,0.5362,129,42543273,82978470,0,577965664.7,30,0,1,,,1,,1,,1,DE,1,1,1,855893778.6,2585901.499,0,0,849697897.4,170669499,170115410.4,66,382100
85006389,0.4326,129,43856560,85006389,0,149748638.9,30,0,0,,,1,,1,,1,LU,1,0,0,13131535.02,30492.74348,0,0,12268394.68,2012521.07,1922972.12,66,384969
